serie_id,descripcion,titulo_oficial,periodicidad,unidad,fecha_inicio,fecha_fin
SP9709,Tipo de cambio FIX peso/dólar,Indices de precios de genéricos para producción total 3403 Varilla corrugada,Mensual,Sin Unidad,01/01/1981,01/06/2011
SP67487,Índice de precios productor INPP,Indices de precios de genéricos para mercado de exportación 2403 Varilla corrugada,Mensual,Sin Unidad,01/12/2003,01/06/2011
SP66938,Índice de precios al consumidor INPC,Indices de Precios productor para mercado nacional 1403 Varilla corrugada,Mensual,Sin Unidad,01/12/2003,01/06/2011
SP66321,Tasa de interés interbancaria TIIE,Índice del costo de la construcción (ICC)                       Materiales utili Índice general                                                  Subindice materi 14. Productos de alambre                                        Varilla,Mensual,Sin Unidad,01/01/2003,01/06/2011
SP68002,Índice de actividad industrial,Indices de precios de genéricos para bienes finales 4403 Varilla corrugada,Mensual,Sin Unidad,01/12/2003,01/06/2011
