serie_id,fecha,valor,fecha_descarga
SP74665,2015-01-01,5.34,2025-09-28 17:48:59.587606
SP74665,2015-02-01,4.88,2025-09-28 17:48:59.587606
SP74665,2015-03-01,5.29,2025-09-28 17:48:59.587606
SP74665,2015-04-01,5.46,2025-09-28 17:48:59.587606
SP74665,2015-05-01,4.64,2025-09-28 17:48:59.587606
SP74665,2015-06-01,4.63,2025-09-28 17:48:59.587606
SP74665,2015-07-01,4.12,2025-09-28 17:48:59.587606
SP74665,2015-08-01,3.51,2025-09-28 17:48:59.587606
SP74665,2015-09-01,2.96,2025-09-28 17:48:59.587606
SP74665,2015-10-01,2.52,2025-09-28 17:48:59.587606
SP74665,2015-11-01,1.84,2025-09-28 17:48:59.587606
SP74665,2015-12-01,1.28,2025-09-28 17:48:59.587606
SP74665,2016-01-01,2.52,2025-09-28 17:48:59.587606
SP74665,2016-02-01,3.49,2025-09-28 17:48:59.587606
SP74665,2016-03-01,2.12,2025-09-28 17:48:59.587606
SP74665,2016-04-01,1.66,2025-09-28 17:48:59.587606
SP74665,2016-05-01,1.55,2025-09-28 17:48:59.587606
SP74665,2016-06-01,1.16,2025-09-28 17:48:59.587606
SP74665,2016-07-01,1.65,2025-09-28 17:48:59.587606
SP74665,2016-08-01,1.99,2025-09-28 17:48:59.587606
SP74665,2016-09-01,2.65,2025-09-28 17:48:59.587606
SP74665,2016-10-01,2.95,2025-09-28 17:48:59.587606
SP74665,2016-11-01,3.34,2025-09-28 17:48:59.587606
SP74665,2016-12-01,3.13,2025-09-28 17:48:59.587606
SP74665,2017-01-01,7.4,2025-09-28 17:48:59.587606
SP74665,2017-02-01,6.71,2025-09-28 17:48:59.587606
SP74665,2017-03-01,8.02,2025-09-28 17:48:59.587606
SP74665,2017-04-01,9.25,2025-09-28 17:48:59.587606
SP74665,2017-05-01,10.6,2025-09-28 17:48:59.587606
SP74665,2017-06-01,11.09,2025-09-28 17:48:59.587606
SP74665,2017-07-01,11.27,2025-09-28 17:48:59.587606
SP74665,2017-08-01,11.98,2025-09-28 17:48:59.587606
SP74665,2017-09-01,11.28,2025-09-28 17:48:59.587606
SP74665,2017-10-01,11.4,2025-09-28 17:48:59.587606
SP74665,2017-11-01,11.97,2025-09-28 17:48:59.587606
SP74665,2017-12-01,12.62,2025-09-28 17:48:59.587606
SP74665,2018-01-01,8.44,2025-09-28 17:48:59.587606
SP74665,2018-02-01,8.49,2025-09-28 17:48:59.587606
SP74665,2018-03-01,8.03,2025-09-28 17:48:59.587606
SP74665,2018-04-01,7.07,2025-09-28 17:48:59.587606
SP74665,2018-05-01,6.99,2025-09-28 17:48:59.587606
SP74665,2018-06-01,7.79,2025-09-28 17:48:59.587606
SP74665,2018-07-01,8.38,2025-09-28 17:48:59.587606
SP74665,2018-08-01,8.8,2025-09-28 17:48:59.587606
SP74665,2018-09-01,9.15,2025-09-28 17:48:59.587606
SP74665,2018-10-01,8.5,2025-09-28 17:48:59.587606
SP74665,2018-11-01,8.07,2025-09-28 17:48:59.587606
SP74665,2018-12-01,8.4,2025-09-28 17:48:59.587606
SP74665,2019-01-01,6.81,2025-09-28 17:48:59.587606
SP74665,2019-02-01,5.25,2025-09-28 17:48:59.587606
SP74665,2019-03-01,5.47,2025-09-28 17:48:59.587606
SP74665,2019-04-01,6.08,2025-09-28 17:48:59.587606
SP74665,2019-05-01,5.78,2025-09-28 17:48:59.587606
SP74665,2019-06-01,4.19,2025-09-28 17:48:59.587606
SP74665,2019-07-01,3.64,2025-09-28 17:48:59.587606
SP74665,2019-08-01,1.28,2025-09-28 17:48:59.587606
SP74665,2019-09-01,0.71,2025-09-28 17:48:59.587606
SP74665,2019-10-01,1.01,2025-09-28 17:48:59.587606
SP74665,2019-11-01,0.98,2025-09-28 17:48:59.587606
SP74665,2019-12-01,0.59,2025-09-28 17:48:59.587606
SP74665,2020-01-01,1.81,2025-09-28 17:48:59.587606
SP74665,2020-02-01,3.81,2025-09-28 17:48:59.587606
SP74665,2020-03-01,2.19,2025-09-28 17:48:59.587606
SP74665,2020-04-01,-1.96,2025-09-28 17:48:59.587606
SP74665,2020-05-01,0.35,2025-09-28 17:48:59.587606
SP74665,2020-06-01,2.16,2025-09-28 17:48:59.587606
SP74665,2020-07-01,2.92,2025-09-28 17:48:59.587606
SP74665,2020-08-01,4.3,2025-09-28 17:48:59.587606
SP74665,2020-09-01,4.1,2025-09-28 17:48:59.587606
SP74665,2020-10-01,4.42,2025-09-28 17:48:59.587606
SP74665,2020-11-01,2.33,2025-09-28 17:48:59.587606
SP74665,2020-12-01,1.18,2025-09-28 17:48:59.587606
SP74665,2021-01-01,2.63,2025-09-28 17:48:59.587606
SP74665,2021-02-01,3.43,2025-09-28 17:48:59.587606
SP74665,2021-03-01,6.31,2025-09-28 17:48:59.587606
SP74665,2021-04-01,12.34,2025-09-28 17:48:59.587606
SP74665,2021-05-01,10.76,2025-09-28 17:48:59.587606
SP74665,2021-06-01,10.0,2025-09-28 17:48:59.587606
SP74665,2021-07-01,9.39,2025-09-28 17:48:59.587606
SP74665,2021-08-01,8.14,2025-09-28 17:48:59.587606
SP74665,2021-09-01,9.37,2025-09-28 17:48:59.587606
SP74665,2021-10-01,9.47,2025-09-28 17:48:59.587606
SP74665,2021-11-01,12.61,2025-09-28 17:48:59.587606
SP74665,2021-12-01,11.74,2025-09-28 17:48:59.587606
SP74665,2022-01-01,9.68,2025-09-28 17:48:59.587606
SP74665,2022-02-01,9.34,2025-09-28 17:48:59.587606
SP74665,2022-03-01,9.45,2025-09-28 17:48:59.587606
SP74665,2022-04-01,9.07,2025-09-28 17:48:59.587606
SP74665,2022-05-01,8.77,2025-09-28 17:48:59.587606
SP74665,2022-06-01,9.47,2025-09-28 17:48:59.587606
SP74665,2022-07-01,9.65,2025-09-28 17:48:59.587606
SP74665,2022-08-01,10.65,2025-09-28 17:48:59.587606
SP74665,2022-09-01,9.96,2025-09-28 17:48:59.587606
SP74665,2022-10-01,8.36,2025-09-28 17:48:59.587606
SP74665,2022-11-01,5.73,2025-09-28 17:48:59.587606
SP74665,2022-12-01,6.27,2025-09-28 17:48:59.587606
SP74665,2023-01-01,6.32,2025-09-28 17:48:59.587606
SP74665,2023-02-01,5.65,2025-09-28 17:48:59.587606
SP74665,2023-03-01,3.27,2025-09-28 17:48:59.587606
SP74665,2023-04-01,2.12,2025-09-28 17:48:59.587606
SP74665,2023-05-01,1.24,2025-09-28 17:48:59.587606
SP74665,2023-06-01,-0.36,2025-09-28 17:48:59.587606
SP74665,2023-07-01,-0.67,2025-09-28 17:48:59.587606
SP74665,2023-08-01,0.37,2025-09-28 17:48:59.587606
SP74665,2023-09-01,0.6,2025-09-28 17:48:59.587606
SP74665,2023-10-01,0.56,2025-09-28 17:48:59.587606
SP74665,2023-11-01,1.43,2025-09-28 17:48:59.587606
SP74665,2023-12-01,3.39,2025-09-28 17:48:59.587606
SP74665,2024-01-01,5.24,2025-09-28 17:48:59.587606
SP74665,2024-02-01,3.67,2025-09-28 17:48:59.587606
SP74665,2024-03-01,4.03,2025-09-28 17:48:59.587606
SP74665,2024-04-01,5.54,2025-09-28 17:48:59.587606
SP74665,2024-05-01,6.19,2025-09-28 17:48:59.587606
SP74665,2024-06-01,7.67,2025-09-28 17:48:59.587606
SP74665,2024-07-01,10.36,2025-09-28 17:48:59.587606
SP74665,2024-08-01,8.03,2025-09-28 17:48:59.587606
SP74665,2024-09-01,6.5,2025-09-28 17:48:59.587606
