date,year,month,year_month,ecsu_index,country,source,fecha_procesamiento,date_diff
2010-11-01,2010,11,2010-11,176.21809823060272,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2010-12-01,2010,12,2010-12,180.43863675607926,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2011-01-01,2011,1,2011-01,169.4211265468268,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2011-02-01,2011,2,2011-02,120.9452885668771,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2011-03-01,2011,3,2011-03,169.5464201352989,turkey,ECSU,2025-09-28 18:09:10.133334,28 days
2011-04-01,2011,4,2011-04,327.0150727848725,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2011-05-01,2011,5,2011-05,168.72811679974768,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2011-06-01,2011,6,2011-06,167.4269420337705,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2011-07-01,2011,7,2011-07,172.13868220228247,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2011-08-01,2011,8,2011-08,183.41386583925728,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2011-09-01,2011,9,2011-09,184.27373276647313,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2011-10-01,2011,10,2011-10,312.52867607640445,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2011-11-01,2011,11,2011-11,120.2736527212432,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2011-12-01,2011,12,2011-12,381.10460419068124,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2012-01-01,2012,1,2012-01,121.14428550496741,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2012-02-01,2012,2,2012-02,122.07700106074277,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2012-03-01,2012,3,2012-03,117.40519533129445,turkey,ECSU,2025-09-28 18:09:10.133334,29 days
2012-04-01,2012,4,2012-04,174.53546027484555,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2012-05-01,2012,5,2012-05,184.46146639650834,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2012-06-01,2012,6,2012-06,191.12181329476581,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2012-07-01,2012,7,2012-07,120.3580404909035,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2012-08-01,2012,8,2012-08,171.9821387526716,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2012-09-01,2012,9,2012-09,125.53739853261807,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2012-10-01,2012,10,2012-10,164.5030877017068,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2012-11-01,2012,11,2012-11,162.2882517199835,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2012-12-01,2012,12,2012-12,154.76178973159497,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2013-01-01,2013,1,2013-01,165.24435254377005,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2013-02-01,2013,2,2013-02,157.9740284379203,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2013-03-01,2013,3,2013-03,319.7922723045415,turkey,ECSU,2025-09-28 18:09:10.133334,28 days
2013-04-01,2013,4,2013-04,154.73436385292766,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2013-05-01,2013,5,2013-05,166.67528147842546,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2013-06-01,2013,6,2013-06,158.10768470400208,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2013-07-01,2013,7,2013-07,164.3382968884789,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2013-08-01,2013,8,2013-08,312.8442030708306,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2013-09-01,2013,9,2013-09,162.6053876227656,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2013-10-01,2013,10,2013-10,157.95827832579934,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2013-11-01,2013,11,2013-11,160.0275628790453,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2013-12-01,2013,12,2013-12,163.17051628164467,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2014-01-01,2014,1,2014-01,117.25407515400319,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2014-02-01,2014,2,2014-02,107.00789181685595,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2014-03-01,2014,3,2014-03,105.68692085854924,turkey,ECSU,2025-09-28 18:09:10.133334,28 days
2014-04-01,2014,4,2014-04,100.89312898705722,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2014-05-01,2014,5,2014-05,116.23954207420925,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2014-06-01,2014,6,2014-06,114.15887150495261,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2014-07-01,2014,7,2014-07,113.85033269808443,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2014-08-01,2014,8,2014-08,235.91364200377134,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2014-09-01,2014,9,2014-09,122.41257331723044,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2014-10-01,2014,10,2014-10,120.31406905651293,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2014-11-01,2014,11,2014-11,225.68421826655333,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2014-12-01,2014,12,2014-12,132.58599874218936,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2015-01-01,2015,1,2015-01,141.07929968541532,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2015-02-01,2015,2,2015-02,137.04769253909225,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2015-03-01,2015,3,2015-03,298.38227760643304,turkey,ECSU,2025-09-28 18:09:10.133334,28 days
2015-04-01,2015,4,2015-04,145.7713615585619,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2015-05-01,2015,5,2015-05,138.38027266780125,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2015-06-01,2015,6,2015-06,139.38615451447532,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2015-07-01,2015,7,2015-07,95.98242730588633,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2015-08-01,2015,8,2015-08,135.41441213518786,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2015-09-01,2015,9,2015-09,126.75488375124799,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2015-10-01,2015,10,2015-10,91.00573690169934,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2015-11-01,2015,11,2015-11,202.54153353346828,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2015-12-01,2015,12,2015-12,141.30065433485927,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2016-01-01,2016,1,2016-01,50.73309132991083,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2016-02-01,2016,2,2016-02,50.80582290608232,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2016-03-01,2016,3,2016-03,51.886537973917726,turkey,ECSU,2025-09-28 18:09:10.133334,29 days
2016-04-01,2016,4,2016-04,49.9036025222426,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2016-05-01,2016,5,2016-05,51.342142678732806,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2016-06-01,2016,6,2016-06,54.6910918260953,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2016-07-01,2016,7,2016-07,76.61789695300607,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2016-08-01,2016,8,2016-08,53.18466114002368,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2016-09-01,2016,9,2016-09,73.33410914364548,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2016-10-01,2016,10,2016-10,77.63886465352986,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2016-11-01,2016,11,2016-11,64.8062659846769,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2016-12-01,2016,12,2016-12,63.60063087237513,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2017-01-01,2017,1,2017-01,101.44438459030837,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2017-02-01,2017,2,2017-02,101.56377959820362,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2017-03-01,2017,3,2017-03,101.35155164007288,turkey,ECSU,2025-09-28 18:09:10.133334,28 days
2017-04-01,2017,4,2017-04,101.86815099219626,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2017-05-01,2017,5,2017-05,184.49711071927425,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2017-06-01,2017,6,2017-06,191.37837971741735,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2017-07-01,2017,7,2017-07,97.17380937385943,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2017-08-01,2017,8,2017-08,196.0366108199782,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2017-09-01,2017,9,2017-09,191.31615800275412,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2017-10-01,2017,10,2017-10,89.16207080039494,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2017-11-01,2017,11,2017-11,100.47820853817791,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2017-12-01,2017,12,2017-12,103.20185010074114,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2018-01-01,2018,1,2018-01,70.5274297583165,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2018-02-01,2018,2,2018-02,65.34546558381314,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2018-03-01,2018,3,2018-03,68.80344960227318,turkey,ECSU,2025-09-28 18:09:10.133334,28 days
2018-04-01,2018,4,2018-04,68.21119128691905,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2018-05-01,2018,5,2018-05,75.00841681085511,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2018-06-01,2018,6,2018-06,145.99812557537518,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2018-07-01,2018,7,2018-07,142.00747045532393,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2018-08-01,2018,8,2018-08,146.66161976097214,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2018-09-01,2018,9,2018-09,152.446817340929,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2018-10-01,2018,10,2018-10,150.63885261289204,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2018-11-01,2018,11,2018-11,144.74318753732177,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2018-12-01,2018,12,2018-12,140.3064424620158,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2019-01-01,2019,1,2019-01,223.9685063818133,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2019-02-01,2019,2,2019-02,118.91244881663235,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2019-03-01,2019,3,2019-03,122.25814107147859,turkey,ECSU,2025-09-28 18:09:10.133334,28 days
2019-04-01,2019,4,2019-04,231.48143662176395,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2019-05-01,2019,5,2019-05,237.65935994604382,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2019-06-01,2019,6,2019-06,114.71152372384093,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2019-07-01,2019,7,2019-07,219.8484302825276,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2019-08-01,2019,8,2019-08,109.7343964561041,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2019-09-01,2019,9,2019-09,115.77591843532167,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2019-10-01,2019,10,2019-10,233.30726763135928,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2019-11-01,2019,11,2019-11,198.57384974674346,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2019-12-01,2019,12,2019-12,234.14549206641325,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2020-01-01,2020,1,2020-01,76.33227674683947,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2020-02-01,2020,2,2020-02,156.61544617494687,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2020-03-01,2020,3,2020-03,439.808856848311,turkey,ECSU,2025-09-28 18:09:10.133334,29 days
2020-04-01,2020,4,2020-04,83.315235132474,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2020-05-01,2020,5,2020-05,86.604442018051,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2020-06-01,2020,6,2020-06,157.56379517492783,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2020-07-01,2020,7,2020-07,68.16009580037904,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2020-08-01,2020,8,2020-08,72.51089126566592,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2020-09-01,2020,9,2020-09,77.35654749440144,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2020-10-01,2020,10,2020-10,79.16429286782125,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2020-11-01,2020,11,2020-11,83.7123526466027,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2020-12-01,2020,12,2020-12,76.12354395491543,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2021-01-01,2021,1,2021-01,104.08058832872706,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2021-02-01,2021,2,2021-02,95.91986142143026,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2021-03-01,2021,3,2021-03,107.35489490708005,turkey,ECSU,2025-09-28 18:09:10.133334,28 days
2021-04-01,2021,4,2021-04,106.74228604096452,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2021-05-01,2021,5,2021-05,144.76759578944493,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2021-06-01,2021,6,2021-06,149.44023823640345,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2021-07-01,2021,7,2021-07,140.86879993089653,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2021-08-01,2021,8,2021-08,270.89536794684955,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2021-09-01,2021,9,2021-09,142.75259161264816,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2021-10-01,2021,10,2021-10,146.2532488303743,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2021-11-01,2021,11,2021-11,172.70428547009175,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2021-12-01,2021,12,2021-12,283.64403461336786,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2022-01-01,2022,1,2022-01,509.1529307204777,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2022-02-01,2022,2,2022-02,497.2275415731943,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2022-03-01,2022,3,2022-03,270.3378351256384,turkey,ECSU,2025-09-28 18:09:10.133334,28 days
2022-04-01,2022,4,2022-04,521.2946162405624,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2022-05-01,2022,5,2022-05,83.7411196347515,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2022-06-01,2022,6,2022-06,88.4092638561806,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2022-07-01,2022,7,2022-07,79.62245025923438,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2022-08-01,2022,8,2022-08,77.32648576215469,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2022-09-01,2022,9,2022-09,84.9458157460235,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2022-10-01,2022,10,2022-10,83.26623699645766,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2022-11-01,2022,11,2022-11,139.971270205013,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2022-12-01,2022,12,2022-12,138.488625771666,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
