serie_id,fecha,valor,fecha_descarga
SR16734,2022-01-01,107.229,2025-09-28 17:48:57.805353
SR16734,2022-02-01,105.5401,2025-09-28 17:48:57.805353
SR16734,2022-03-01,112.2594,2025-09-28 17:48:57.805353
SR16734,2022-04-01,109.6186,2025-09-28 17:48:57.805353
SR16734,2022-05-01,114.2141,2025-09-28 17:48:57.805353
SR16734,2022-06-01,112.7901,2025-09-28 17:48:57.805353
SR16734,2022-07-01,111.2842,2025-09-28 17:48:57.805353
SR16734,2022-08-01,112.917,2025-09-28 17:48:57.805353
SR16734,2022-09-01,109.5058,2025-09-28 17:48:57.805353
SR16734,2022-10-01,113.1013,2025-09-28 17:48:57.805353
SR16734,2022-11-01,116.2355,2025-09-28 17:48:57.805353
SR16734,2022-12-01,115.6574,2025-09-28 17:48:57.805353
SR16734,2023-01-01,112.0995,2025-09-28 17:48:57.805353
SR16734,2023-02-01,109.5504,2025-09-28 17:48:57.805353
SR16734,2023-03-01,115.2517,2025-09-28 17:48:57.805353
SR16734,2023-04-01,112.5245,2025-09-28 17:48:57.805353
SR16734,2023-05-01,119.1355,2025-09-28 17:48:57.805353
