date,premium
2025-01-15,3.1329662417505046
2025-01-16,3.1387157317994503
2025-01-17,3.143217100182549
2025-01-18,3.147697110239622
2025-01-19,3.1515231976301723
2025-01-20,3.154677783190478
2025-01-21,3.15714646890324
2025-01-22,3.1589181064110226
2025-01-23,3.1599848501334513
2025-01-24,3.1603421947350734
2025-01-25,3.1599889967649704
2025-01-26,3.1589274803642047
2025-01-27,3.1571632270126773
2025-01-28,3.154705149362624
2025-01-29,3.149900085995312
2025-01-30,3.152647645711244
2025-01-31,3.154144033636192
2025-02-01,3.1553141341878095
2025-02-02,3.156726532615874
2025-02-03,3.1593634060144344
2025-02-04,3.1547387244461937
2025-02-05,3.1511698505379426
2025-02-06,3.1477181007514887
2025-02-07,3.1438462609833744
2025-02-08,3.1406191903175107
2025-02-09,3.1365435161456383
2025-02-10,3.1318402138291512
2025-02-11,3.1267972664498203
2025-02-12,3.121423844624905
2025-02-13,3.115406117184156
2025-02-14,3.1086409102164367
2025-02-15,3.1015005978334975
2025-02-16,3.093771037640189
2025-02-17,3.085736196372359
2025-02-18,3.077096053108195
2025-02-19,3.0683166304646927
2025-02-20,3.059522387893166
2025-02-21,3.050779333031143
2025-02-22,3.041862283689767
2025-02-23,3.0331606502595063
2025-02-24,3.0246109094122815
2025-02-25,3.0162687057196527
2025-02-26,3.008382128515906
2025-02-27,3.004767511321892
2025-02-28,3.0009566763446704
2025-03-01,2.997069677930862
2025-03-02,2.9922630409076314
2025-03-03,2.988592984561981
2025-03-04,2.982317555986942
2025-03-05,2.977932170859333
2025-03-06,2.9755629413057383
2025-03-07,2.975990959206618
2025-03-08,2.9770270628176285
2025-03-09,2.9787393174864554
2025-03-10,2.9812606625389537
2025-03-11,2.984395347599248
2025-03-12,2.9886314876405042
2025-03-13,2.9939509001889713
2025-03-14,3.0000378131368004
2025-03-15,3.006542789016674
2025-03-16,3.0134402908594744
2025-03-17,3.0202409151910006
2025-03-18,3.027089628150045
2025-03-19,3.0341316657100217
2025-03-20,3.0416469095947583
2025-03-21,3.049617542056434
2025-03-22,3.0580376084969005
2025-03-23,3.0667461127344935
2025-03-24,3.075830056261181
2025-03-25,3.0852593329177593
2025-03-26,3.0947715908330458
2025-03-27,3.1038705547236667
2025-03-28,3.1117274520599523
2025-03-29,3.117951013534708
2025-03-30,3.121064847998477
2025-03-31,3.086914272678782
2025-04-01,3.0150877395057836
2025-04-02,2.9072557583010736
2025-04-03,2.762662203588568
2025-04-04,2.5818589337767035
2025-04-05,2.3983846754073816
2025-04-06,2.2134207691635983
2025-04-07,2.0249718627283704
2025-04-08,1.8750752325471
2025-04-09,1.764129830792632
2025-04-10,1.6928150415891003
2025-04-11,1.6605135071981014
2025-04-12,1.6680848007221882
2025-04-13,1.6745057235152128
2025-04-14,1.6802027085014057
2025-04-15,1.6851671536870423
2025-04-16,1.6895638252898078
2025-04-17,1.693408994893873
2025-04-18,1.6967470508244253
2025-04-19,1.6994437125174138
2025-04-20,1.7019096956811979
2025-04-21,1.704706894364681
2025-04-22,1.7080412201559476
2025-04-23,1.7110596942164211
2025-04-24,1.7135914675795199
2025-04-25,1.7150531394929978
2025-04-26,1.7144794692011687
2025-04-27,1.710279874080674
2025-04-28,1.7061903744119007
2025-04-29,1.7030484955083807
2025-04-30,1.7014484586028231
2025-05-01,1.7015386211601196
2025-05-02,1.7049049573940505
2025-05-03,1.7084962686675191
2025-05-04,1.7113940050733132
2025-05-05,1.7131299561843618
2025-05-06,1.7141474426298182
2025-05-07,1.7144619936162322
2025-05-08,1.7141725543680202
2025-05-09,1.7133984037865653
2025-05-10,1.7119201370081907
2025-05-11,1.7095524600963177
2025-05-12,1.7059535469005644
2025-05-13,1.701216773630201
2025-05-14,1.695520227259074
2025-05-15,1.6891507524470863
2025-05-16,1.6820941637265274
2025-05-17,1.6745562720214582
2025-05-18,1.6664073293920623
2025-05-19,1.6575621462181869
2025-05-20,1.6489204758718388
2025-05-21,1.6410602567851922
2025-05-22,1.6342583771498584
2025-05-23,1.6284903247252225
2025-05-24,1.623965380058499
2025-05-25,1.6199127962555813
2025-05-26,1.6158980299243173
2025-05-27,1.6118053948770943
2025-05-28,1.6079495311391305
2025-05-29,1.6094620665103239
2025-05-30,1.6045168605123508
2025-05-31,1.5998503396146628
2025-06-01,1.595485672974828
2025-06-02,1.5912797609322116
2025-06-03,1.5823434487671384
2025-06-04,1.5804750752306786
2025-06-05,1.5789635175139574
2025-06-06,1.5775129210631813
2025-06-07,1.5761185988761208
2025-06-08,1.5743628142098878
2025-06-09,1.573659538705245
2025-06-10,1.573909980142077
2025-06-11,1.5754696524681813
2025-06-12,1.578430173650735
2025-06-13,1.582963124203878
2025-06-14,1.5877786036293706
2025-06-15,1.5929404864606553
2025-06-16,1.5983416692569672
2025-06-17,1.6039978701878403
2025-06-18,1.609821700584435
2025-06-19,1.615709280931614
2025-06-20,1.621656549089718
2025-06-21,1.627667301828073
2025-06-22,1.6336710081321173
2025-06-23,1.6397380549478249
2025-06-24,1.6404101861117053
2025-06-25,1.640922901957526
2025-06-26,1.6412434246501397
2025-06-27,1.6414480770344082
2025-06-28,1.641491465527206
2025-06-29,1.644147802867608
2025-06-30,1.647306340856374
2025-07-01,1.651603286014863
2025-07-02,1.6568036131753783
2025-07-03,1.6623985336690275
2025-07-04,1.6712925916164818
2025-07-05,1.6805624238605446
2025-07-06,1.689138571288606
2025-07-07,1.6970342180978704
2025-07-08,1.7042257385473678
2025-07-09,1.711415408908593
2025-07-10,1.7182306775452136
2025-07-11,1.7249934124876252
