date,usdmxn_rate,usdmxn_volatility,usdmxn_momentum,tiie_rate,real_interest_rate,lme_price,lme_volatility,lme_momentum,epu_mexico,epu_normalized,market_stress,seasonal_construction,month_end_effect
2025-04-05,9.2704,0.19624144303768054,0.0010798669603904187,20.501,,565.5,2.3653363591569683,-0.0085904628330995,420.647907098,1.4677814622311693,0.5427136814626489,0.009411335492162215,0.0
2025-04-06,9.2704,0.20820198305280396,0.0,20.501,,565.5,2.7061212009108226,-0.011363636363636354,420.647907098,1.4677814622311693,0.637732714646759,0.012767664755809338,0.0
2025-04-07,9.2604,0.2187654164025621,-0.006480130460904565,20.6947,,566.5,2.916833821153687,-0.007880910683012221,420.647907098,1.4677814622311693,0.7083841445100933,0.016063483084618194,0.0
2025-04-08,9.2503,0.22806896035662966,-0.007563728435327488,20.6867,,560.0,3.675898513976377,-0.019264448336252182,420.647907098,1.4677814622311693,0.8549077605104826,0.01928317031218035,0.0
2025-04-09,9.2604,0.23624087456679604,-0.001078702105626439,20.7653,,561.5,4.129156213378121,-0.007073386383731228,420.647907098,1.4677814622311693,0.9522289686259461,0.02241146708702051,0.0
2025-04-10,9.2604,0.2431271741621746,-0.001078702105626439,20.492,,561.5,4.506603073753477,-0.007073386383731228,420.647907098,1.4677814622311693,1.0335774590579048,0.025433547192605228,0.0
2025-04-11,9.2604,0.2483835076058127,-0.001078702105626439,20.3363,,565.0,4.63327420784201,-0.0008841732979664174,420.647907098,1.4677814622311693,1.0719409843085566,0.028335087814555866,0.0
2025-04-12,9.2604,0.25220259726846056,0.0,20.3363,,565.0,4.742960906534667,-0.0026478375992938785,420.647907098,1.4677814622311693,1.1024093841573273,0.03110233742204338,0.0
2025-04-13,9.2604,0.2542549978260637,0.0010918564803306108,20.3363,,565.0,4.737359466268142,0.008928571428571397,420.647907098,1.4677814622311693,1.1092951441641672,0.03372218094164727,0.0
2025-04-14,9.2704,0.254759927017151,0.0010798669603904187,20.1025,,567.0,4.644517222476608,0.009795191451469343,420.647907098,1.4677814622311693,1.097544473874959,0.036182201914795604,0.0
2025-04-15,9.2704,0.2541197554823854,0.0010798669603904187,20.0213,,566.5,4.540252917153516,0.008904719501335645,420.647907098,1.4677814622311693,1.0798136496053523,0.038470741344196896,0.0
2025-04-16,9.2704,0.2523257677239116,0.0010798669603904187,19.9737,,566.5,4.497616226862277,0.0026548672566371057,420.647907098,1.4677814622311693,1.0668078072573115,0.04057695295036807,0.0
2025-04-17,9.2704,0.2493530613545505,0.0010798669603904187,19.9737,,566.5,4.440033395338501,0.0026548672566371057,420.647907098,1.4677814622311693,1.0471775178910934,0.0424908545763764,0.0
2025-04-18,9.2704,0.24515876197823708,0.0010798669603904187,19.9737,,566.5,4.3860659722171,0.0026548672566371057,420.647907098,1.4677814622311693,1.023490177135619,0.04420337549716818,0.0
2025-04-19,9.2704,0.24015987404942804,0.0,19.9737,,566.5,4.250657826033528,-0.0008818342151675207,420.647907098,1.4677814622311693,0.9848093682884858,0.045706399409266685,0.0
2025-04-20,9.2704,0.23334256227230502,0.0,19.9737,,566.5,4.16441410375857,0.0,420.647907098,1.4677814622311693,0.9465251549951809,0.04699280289709476,0.0
